"spp","dbh","ba","volume","x","y"
316,34,0.0630500192282951,0,19,43.01
972,52,0.147480321793521,1.76,5.38,32.04
541,42,0.0962112750161874,0,4.58,33.92
541,34,0.0630500192282951,0,16.76,53.53
541,59,0.189859097693508,3.31,19.15,56.89
541,44,0.105592419745657,0,2.07,78.06
541,40,0.0872664625997165,0,7.04,82.8
316,59,0.189859097693508,3.34,9.21,81.11
316,31,0.0524144190989547,0,7.7,88.14
541,32,0.0558505360638185,0,17.4,77.06
541,44,0.105592419745657,0,24.72,71.59
316,34,0.0630500192282951,0,24.91,83.38
541,33,0.059395736106932,0,33.44,92.49
972,35,0.0668133854279079,0,36.47,92.87
541,30,0.0490873852123405,0,40.39,93.99
541,66,0.237582944427728,4.03,28.99,56.23
316,32,0.0558505360638185,0,49.46,72.09
316,31,0.0524144190989547,0,46.8,70.24
972,76,0.315031929984976,4.67,44.53,67.84
541,45,0.110446616727766,0,37.74,47.57
316,31,0.0524144190989547,0,43.47,41.44
541,34,0.0630500192282951,0,42.69,41.21
316,32,0.0558505360638185,0,32.24,45.04
316,34,0.0630500192282951,0,37.45,36.6
972,31,0.0524144190989547,0,36.04,32.31
316,34,0.0630500192282951,0,39.29,16.76
972,39,0.0829576810088555,0,35.14,30.94
316,53,0.153207183401627,2.75,24.97,22.56
541,42,0.0962112750161874,0,22.28,39.51
972,81,0.357847038197962,5.9,13.69,28.16
541,38,0.0787579824962441,0,9,130.09
541,37,0.0746673670618824,0,5.8,142.05
541,31,0.0524144190989547,0,4.51,171.11
316,30,0.0490873852123405,0,17.86,164.51
541,43,0.100847305841797,0,8.02,171.88
541,40,0.0872664625997165,0,1.14,176.4
541,31,0.0524144190989547,0,6.32,195.15
316,35,0.0668133854279079,0,10.54,200.44
541,46,0.115409896788125,0,16.03,195.3
541,51,0.141862543263664,1.9,19.46,204.36
316,30,0.0490873852123405,0,25.44,191.81
316,37,0.0746673670618824,0,24.1,209.38
316,37,0.0746673670618824,0,24.12,211.95
316,57,0.177205460616549,2.57,33.13,214.22
541,31,0.0524144190989547,0,32.72,196.46
541,41,0.0916843272688271,0,35.63,200.96
316,42,0.0962112750161874,0,29.42,177.86
316,30,0.0490873852123405,0,30.99,179.55
541,44,0.105592419745657,0,39.66,198.28
316,39,0.0829576810088555,0,49.51,200.31
316,33,0.059395736106932,0,49.39,184.97
316,35,0.0668133854279079,0,48.54,171.94
541,53,0.153207183401627,2.6,37.3,165.19
541,54,0.159043128087983,3.07,32.49,160.63
316,38,0.0787579824962441,0,37.01,155.55
541,38,0.0787579824962441,0,47.96,144.73
541,45,0.110446616727766,0,23.77,157.76
541,40,0.0872664625997165,0,43.97,134.46
541,35,0.0668133854279079,0,39.47,135.21
541,44,0.105592419745657,0,36.36,136.33
316,33,0.059395736106932,0,43.31,122.44
316,33,0.059395736106932,0,29.4,126.15
541,52,0.147480321793521,2.64,24.83,127.2
541,41,0.0916843272688271,0,19.57,137.25
541,51,0.141862543263664,2.12,15.21,108.73
541,41,0.0916843272688271,0,15.57,110.96
541,53,0.153207183401627,1.22,17.08,126.43
541,34,0.0630500192282951,0,13.95,132.84
316,32,0.0558505360638185,0,17.46,257.14
541,39,0.0829576810088555,0,1.37,224.96
541,35,0.0668133854279079,0,8.65,258.99
541,46,0.115409896788125,0,3.22,257.55
541,41,0.0916843272688271,0,0.05,282.34
541,31,0.0524144190989547,0,10.02,279.88
541,40,0.0872664625997165,0,14.25,282.3
541,34,0.0630500192282951,0,18.94,284.7
541,65,0.230438002802376,3.8,34.5,321.54
541,44,0.105592419745657,0,34.69,307.48
541,31,0.0524144190989547,0,36.63,302.34
541,39,0.0829576810088555,0,43.21,280.5
541,37,0.0746673670618824,0,27.01,269.79
541,37,0.0746673670618824,0,36.43,262.2
541,33,0.059395736106932,0,42.25,236.59
316,32,0.0558505360638185,0,47.84,216.04
541,34,0.0630500192282951,0,39.06,234.19
541,33,0.059395736106932,0,42.12,221.76
541,35,0.0668133854279079,0,32.15,243.79
316,35,0.0668133854279079,0,39.84,217.26
316,35,0.0668133854279079,0,38.39,219.79
541,44,0.105592419745657,0,23.91,255
316,40,0.0872664625997165,0,29.53,215.64
316,40,0.0872664625997165,0,21.77,248.06
316,31,0.0524144190989547,0,18.45,238.71
316,35,0.0668133854279079,0,16.1,217.86
541,33,0.059395736106932,0,0.29,349.48
541,48,0.125663706143592,0,3.75,380.27
316,42,0.0962112750161874,0,3.93,397.26
541,34,0.0630500192282951,0,3.65,407.59
316,31,0.0524144190989547,0,9.77,399.75
316,54,0.159043128087983,1.56,0.28,424.22
541,40,0.0872664625997165,0,13.79,398.98
316,32,0.0558505360638185,0,9.34,417.06
316,32,0.0558505360638185,0,5.31,430.86
316,37,0.0746673670618824,0,11.03,428.1
541,36,0.0706858347057703,0,17.56,391.86
611,40,0.0872664625997165,0,15.1,419.89
68,41,0.0916843272688271,0,19.53,408.6
541,41,0.0916843272688271,0,27.07,400.48
541,58,0.183477737615904,3.62,32.6,404.19
541,32,0.0558505360638185,0,32.06,400.95
541,40,0.0872664625997165,0,39.54,403.84
541,41,0.0916843272688271,0,27.86,384.26
541,44,0.105592419745657,0,25.98,378.81
541,31,0.0524144190989547,0,38.41,391.84
541,33,0.059395736106932,0,41.22,374.89
541,41,0.0916843272688271,0,39.52,355.01
541,32,0.0558505360638185,0,34.6,356.57
541,39,0.0829576810088555,0,46.9,335.96
316,35,0.0668133854279079,0,43.8,336.79
541,45,0.110446616727766,0,34.53,336.96
541,66,0.237582944427728,4.03,33.72,323.89
541,46,0.115409896788125,0,20.42,334.97
316,38,0.0787579824962441,0,16.29,334.65
316,31,0.0524144190989547,0,11.86,467.36
316,44,0.105592419745657,0,7.03,463.63
316,32,0.0558505360638185,0,4.72,503.74
541,35,0.0668133854279079,0,9.13,500.12
541,37,0.0746673670618824,0,9.66,499.86
541,60,0.196349540849362,2.42,5.68,529.69
541,30,0.0490873852123405,0,12.21,538.86
541,40,0.0872664625997165,0,24.68,498.94
541,44,0.105592419745657,0,25.05,494.83
316,45,0.110446616727766,0,39.01,525.54
541,48,0.125663706143592,0,31.25,500.76
541,33,0.059395736106932,0,37.06,505.52
541,41,0.0916843272688271,0,35.54,473.4
316,32,0.0558505360638185,0,39.85,444.73
541,33,0.059395736106932,0,24.96,470.08
316,37,0.0746673670618824,0,29.45,457.71
541,34,0.0630500192282951,0,27.73,450.94
541,41,0.0916843272688271,0,24.33,435.88
316,33,0.059395736106932,0,24.76,431.46
316,46,0.115409896788125,0,19.3,451.09
316,37,0.0746673670618824,0,18.5,451.16
316,32,0.0558505360638185,0,17.41,439.97
68,35,0.0668133854279079,0,16.55,455.89
316,43,0.100847305841797,0,11.87,452.85
541,40,0.0872664625997165,0,1.73,589.26
316,34,0.0630500192282951,0,8.09,601.11
316,33,0.059395736106932,0,5.44,605.06
541,33,0.059395736106932,0,11.22,611.68
316,32,0.0558505360638185,0,5.86,633.3
541,66,0.237582944427728,3.68,13.04,642.6
541,39,0.0829576810088555,0,19.42,617.16
541,33,0.059395736106932,0,25.41,634.07
541,44,0.105592419745657,0,26.29,630.49
541,55,0.164988155852589,2.88,27.75,635.16
541,31,0.0524144190989547,0,25.88,634.37
541,31,0.0524144190989547,0,27.57,623.59
972,55,0.164988155852589,2.11,28.95,625.48
541,48,0.125663706143592,0,36.34,646.03
316,38,0.0787579824962441,0,28.08,592.63
316,40,0.0872664625997165,0,29.94,593.83
316,43,0.100847305841797,0,37.26,596.21
541,31,0.0524144190989547,0,32.85,557.46
541,56,0.171042266695444,2.38,24.59,556.35
541,50,0.136353847812057,2.11,15.41,550.86
541,39,0.0829576810088555,0,11.08,559.16
541,41,0.0916843272688271,0,6.64,557.19
316,39,0.0829576810088555,0,7.12,560.94
316,32,0.0558505360638185,0,7.37,562.69
316,43,0.100847305841797,0,10.96,573.84
316,33,0.059395736106932,0,3.41,702.94
316,38,0.0787579824962441,0,8.76,707.19
541,41,0.0916843272688271,0,3.94,728.27
541,38,0.0787579824962441,0,0.45,749.21
316,32,0.0558505360638185,0,13.04,707.42
316,44,0.105592419745657,0,12.85,708.66
316,38,0.0787579824962441,0,10.96,746.76
316,54,0.159043128087983,2.26,17.96,737.23
316,37,0.0746673670618824,0,23.27,721.2
541,55,0.164988155852589,2.39,29.08,732.92
316,52,0.147480321793521,1.99,40.05,732.28
541,55,0.164988155852589,2.8,38.6,716.06
316,30,0.0490873852123405,0,36.25,714.24
541,52,0.147480321793521,2.28,34.08,699.36
541,53,0.153207183401627,2.29,17.39,697.74
541,37,0.0746673670618824,0,37.08,670.05
541,47,0.120482259926734,0,33.79,671.36
541,41,0.0916843272688271,0,36.45,667.52
316,44,0.105592419745657,0,35.9,654.02
