Lessthan30min	Approx60min	Approx90min	Approx120min	Approx180min
83.37265207	81.21239516	81.50020872	82.58920446	83.71110307
83.98171815	81.41903066	80.23568208	80.14828399	80.37298796
82.98036495	83.41772956	82.62105523	80.79345848	83.08073361
80.99958256	81.87145309	83.52166681	80.86170853	82.86948934
82.87782742	80.34259395	82.81886571	80.57940124	81.27731382
83.9477379	83.84441962	82.06631432	81.1324595	82.23527319
82.23574292	83.27505428	80.79231061	81.75705571	83.1731669
83.66387397	81.48609307	83.88618851	80.80097713	81.74879507
81.45647286	80.04931921	82.3222719	83.29044218	82.77907039
82.67012171	80.65373087	81.82805545	83.00726064	81.97064761
